模型名称,提供商,模型类型,输入价格(¥/百万Token),输出价格(¥/百万Token),上下文长度,发布时间,推荐指数,使用场景,性价比等级
GPT-4.5-preview,OpenAI,文本生成,540,1080,128K,2025-02-27,⭐⭐⭐⭐⭐,超高端应用/创意生成,超高端
GPT-4.1,OpenAI,文本生成,14.4,57.6,1M,2025-04-14,⭐⭐⭐⭐⭐,高端推理/多模态,超高端
Claude-3-Opus,Anthropic,文本生成,108,540,200K,2024-03-04,⭐⭐⭐⭐⭐,复杂推理/代码,超高端
Claude-3.5-Sonnet,Anthropic,文本生成,21.6,108,200K,2024-07-01,⭐⭐⭐⭐⭐,代码/推理优势,高端
Claude-3.5-Sonnet-v2,Anthropic,文本生成,21.6,108,200K,2024-10-23,⭐⭐⭐⭐⭐,最新高性能版,高端
GPT-4o,OpenAI,文本生成,18,72,128K,2024-08-06,⭐⭐⭐⭐⭐,通用高端,高端
GPT-4o-2024-05-13,OpenAI,文本生成,36,108,128K,2024-05-14,⭐⭐⭐⭐,早期版本,高端
GPT-4-Turbo,OpenAI,文本生成,72,216,128K,2023-11-07,⭐⭐⭐⭐,均衡性能,高端
Gemini-2.5-pro,Google,文本生成,18,108,200K,2025-06-17,⭐⭐⭐⭐⭐,最新高性能,高端
o1-preview,OpenAI,文本生成,108,432,128K,2024-09-12,⭐⭐⭐⭐⭐,深度推理,超高端
o1-mini,OpenAI,文本生成,21.6,86.4,128K,2024-09-12,⭐⭐⭐⭐,推理特化,高端
Gemini-2.0-Flash,Google,文本生成,0.7,2.8,1024K,2025-02-25,⭐⭐⭐⭐⭐,性价比最优,经济
Gemini-2.5-pro-preview,Google,文本生成,18,108,200K,2025-03-25,⭐⭐⭐⭐⭐,推理优先,高端
Gemini-2.5-flash,Google,文本生成,2.16,18,1024K,2025-06-17,⭐⭐⭐⭐⭐,性价比优,中高端
ERNIE-Bot-4.0,百度,文本生成,40,120,8K,2023-10-17,⭐⭐⭐⭐,通用强手,中高端
ERNIE-4.5-8K,百度,文本生成,4,16,8K,2025-03-16,⭐⭐⭐⭐,多模态能力,中端
Ernie-x1-32k-preview,百度,文本生成,2,8,32K,2025-03-16,⭐⭐⭐⭐,推理能力,中端
Qwen-Max,阿里,文本生成,20,60,32K,2024-09-19,⭐⭐⭐⭐,高性能选择,中高端
Qwen-Plus,阿里,文本生成,0.8,2,128K,2024-09-19,⭐⭐⭐⭐⭐,均衡选择,中端
Qwen-Turbo,阿里,文本生成,0.3,0.6,128K,2024-09-19,⭐⭐⭐⭐⭐,高频调用,经济
GLM-4.5,智谱,文本生成,4,16,128K,2025-07-29,⭐⭐⭐⭐⭐,稳定通用,中端
GLM-4.5-flash,智谱,文本生成,0,0,128K,2025-07-29,⭐⭐⭐⭐⭐,完全免费,经济
glm-z1-air,智谱,文本生成,0.5,0.5,32K,2025-04-25,⭐⭐⭐⭐⭐,推理优势,经济
glm-z1-airx,智谱,文本生成,5,5,32K,2025-04-25,⭐⭐⭐⭐,超快推理,中端
glm-z1-flash,智谱,文本生成,0,0,32K,2025-04-25,⭐⭐⭐⭐⭐,免费推理,经济
Doubao-1.5-pro-32k,字节,文本生成,0.4,1,32K,2025-01-22,⭐⭐⭐⭐⭐,性价比之选,经济
Doubao-1.5-pro-256k,字节,文本生成,2.5,4.5,256K,2025-01-22,⭐⭐⭐⭐⭐,长上下文优选,中端
Doubao-1.5-lite-32k,字节,文本生成,0.1,0.3,32K,2025-01-22,⭐⭐⭐⭐⭐,最便宜,经济
Doubao-Seed-1.6,字节,文本生成,0.8,8,256K,2025-06-16,⭐⭐⭐⭐,推理能力,中端
